FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
633;KERMA, KAHVIKERMA, KEVYT, RASVAA 10 %, VL;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
635;RAEJUUSTO, RASVATON, VL;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
636;VIILI, MAUSTETTU HILLOLLA, YKKÖSVIILI, RASVAA 1 %, VL;FOOD;IND;100;SMILK;MILKTOT;MILKCURL;MILKDTOT
637;JOGURTTI, MAUSTAMATON, RASVATON, VL, D-VIT 0,5 UG;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
639;JOGURTTI, MAUSTETTU, RASVATON;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
640;JUUSTO, VALKOHOMEJUUSTO, RASVAA 26-30 %, CAMEMBERT/BRIE;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
641;JUUSTO, KERMAJUUSTO, RASVAA 30 %, TURUNMAA/OLTERMANNI/KORSHOLM/MASURKKA;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
642;JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, PUNALEIMA;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
643;JUUSTO, KOVA PIENIKOLOINEN JUUSTO, RASVAA 24-27 %, EDAM;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
644;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 9-11 %, KEVYT, EDAM/KADETT;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
645;JUUSTO, KUTUNJUUSTO, RASVAA 20-25 %, KOVA JUUSTO;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
647;SULATEJUUSTO, RASVAA 20-24 %, KESKIRASVAINEN;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
648;SULATEJUUSTO, RASVAA 27-35 %, RUNSASRASVAINEN;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
649;RAEJUUSTO, RASVAA 2-5 %;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
650;JUUSTO, KOTIJUUSTO, RASVAA 9-14 %, MAALAISJUUSTO;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
653;JUUSTO, SINIHOMEJUUSTO, RASVAA 27-30 %, AURA/DANAZOLE, KESKIARVO;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
654;JUUSTO, GOUDA/SALANEUVOS, RASVAA 28-30 %, RASVAA 48 % KUIVAPAINOSTA, KESKIARVO;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
655;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 25-35 %, LAPPI/SMÅLAND/BILLINGE/RUSTHOLLI;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
657;JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %;FOOD;BAK;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
